12927278975396469866;155
10022865574032887111;83
5328545657461732038,12927278975396469866;80
5328545657461732038,10022865574032887111;72
10022865574032887111,135782093003281792;45
135782093003281792,12927278975396469866;41
12927278975396469866,1582049144307670059;25
5328545657461732038;21
10022865574032887111,9496750929701036521;19
14267034171429185908,135782093003281792,12927278975396469866,1582049144307670059;14
10022865574032887111,6363600904455901629;14
12927278975396469866,6363600904455901629;13
12927278975396469866,9496750929701036521;11
6363600904455901629;9
12299849837880487484,12927278975396469866;9
12927278975396469866,7369490838863104346;9
17739288259928612959,10022865574032887111;9
12660936503421083272;8
12423334295760812945,10022865574032887111;8
135782093003281792;7
1349725931324846828;7
135782093003281792,12927278975396469866,64014250332877027;7
5328545657461732038,12927278975396469866,14766497473905235450;7
10022865574032887111,769513685612701624;7
9496750929701036521;7
14505742038542424106,8578520136487655346;6
5328545657461732038,12927278975396469866,64014250332877027;6
12927278975396469866,769395705520753987;6
10022865574032887111,6887264964407351201;6
135782093003281792,12927278975396469866,7439732109836779051,64014250332877027;6
15267414894628382079;5
10022865574032887111,135782093003281792,12927278975396469866;5
5328545657461732038,10022865574032887111,12927278975396469866;5
10022865574032887111,7369490838863104346;5
10022865574032887111,12660936503421083272;5
10022865574032887111,4749483576334678692;5
12927278975396469866,1737632549700615724;5
14505742038542424106,10022865574032887111,135782093003281792,13980655728605833733;5
12927278975396469866,18371374270105689168;4
13980655728605833733,14505742038542424106,12927278975396469866;4
6938466137279514336,12927278975396469866,1582049144307670059;4
10022865574032887111,1582049144307670059;4
12423334295760812945,12927278975396469866;4
12927278975396469866,17118717028312563944;4
10744736794423083075,12927278975396469866;4
15969342654914585036,4556969761748802530,12927278975396469866,12677090730815056391,11482094197718933280;4
10022865574032887111,12927278975396469866;4
135782093003281792,1582049144307670059;4
135782093003281792,12927278975396469866,1582049144307670059;4
10022865574032887111,12927278975396469866,1582049144307670059;4
10022865574032887111,10631961350024461538;4
6887264964407351201;4
17739288259928612959,12927278975396469866;4
